time,temperature_2m_ukmo_seamless (°C),precipitation_ukmo_seamless (mm),temperature_2m_ukmo_global_deterministic_10km (°C),precipitation_ukmo_global_deterministic_10km (mm),temperature_2m_ukmo_uk_deterministic_2km (°C),precipitation_ukmo_uk_deterministic_2km (mm)
2026-03-13 12:00:00,6.6,87,0.80,0.70,0.00,6.6
2026-03-13 13:00:00,6.6,81,0.10,0.10,0.00,6.6
2026-03-13 14:00:00,6.9,72,0.10,0.10,0.00,6.9
2026-03-13 15:00:00,7.2,66,0.10,0.10,0.00,7.2
2026-03-13 16:00:00,7.2,64,0.00,0.00,0.00,7.2
2026-03-13 17:00:00,7.2,64,0.00,0.00,0.00,7.2
2026-03-13 18:00:00,7.1,64,0.00,0.00,0.00,7.1
2026-03-13 19:00:00,7.0,65,0.00,0.00,0.00,7.0
2026-03-13 20:00:00,6.8,66,0.00,0.00,0.00,6.8
2026-03-13 21:00:00,6.6,67,0.00,0.00,0.00,6.6
2026-03-13 22:00:00,6.1,68,0.00,0.00,0.00,6.1
2026-03-13 23:00:00,5.8,70,0.00,0.00,0.00,5.8
2026-03-14 00:00:00,5.5,72,0.00,0.00,0.00,5.5
2026-03-14 01:00:00,5.1,73,0.00,0.00,0.00,5.1
2026-03-14 02:00:00,4.6,75,0.00,0.00,0.00,4.6
2026-03-14 03:00:00,4.2,77,0.00,0.00,0.00,4.2
2026-03-14 04:00:00,3.8,78,0.00,0.00,0.00,3.8
2026-03-14 05:00:00,3.5,79,0.00,0.00,0.00,3.5
2026-03-14 06:00:00,3.5,79,0.00,0.00,0.00,3.5
2026-03-14 07:00:00,3.7,78,0.00,0.00,0.00,3.7
2026-03-14 08:00:00,4.2,76,0.00,0.00,0.00,4.2
2026-03-14 09:00:00,4.7,73,0.00,0.00,0.00,4.7
2026-03-14 10:00:00,5.4,70,0.00,0.00,0.00,5.4
2026-03-14 11:00:00,6.1,67,0.00,0.00,0.00,6.1
2026-03-14 12:00:00,6.7,63,0.00,0.00,0.00,6.7
2026-03-14 13:00:00,7.4,58,0.00,0.00,0.00,7.4
2026-03-14 14:00:00,8.2,52,0.00,0.00,0.00,8.2
2026-03-14 15:00:00,9.0,45,0.00,0.00,0.00,9.0
2026-03-14 16:00:00,9.7,39,0.00,0.00,0.00,9.7
2026-03-14 17:00:00,10.2,35,0.00,0.00,0.00,10.2
2026-03-14 18:00:00,10.5,32,0.00,0.00,0.00,10.5
2026-03-14 19:00:00,10.3,32,0.00,0.00,0.00,10.3
2026-03-14 20:00:00,9.8,35,0.00,0.00,0.00,9.8
2026-03-14 21:00:00,9.1,39,0.00,0.00,0.00,9.1
2026-03-14 22:00:00,8.4,44,0.00,0.00,0.00,8.4
2026-03-14 23:00:00,7.7,47,0.00,0.00,0.00,7.7
2026-02-22 00:00:00,53,13.9,10.0,2.10,53,13.2
2026-02-23 00:00:00,51,13.2,9.0,0.30,53,12.9
2026-02-24 00:00:00,3,15.5,11.7,0.00,3,14.8
2026-02-25 00:00:00,3,18.1,9.4,0.00,2,16.3
2026-02-26 00:00:00,3,12.9,10.8,0.00,3,12.7
2026-02-27 00:00:00,55,13.2,10.3,4.40,53,13.0
2026-02-28 00:00:00,61,10.7,6.9,3.30,53,10.1
2026-03-01 00:00:00,51,12.3,7.9,0.10,51,11.6
2026-03-02 00:00:00,3,15.9,9.4,0.00,3,14.7
2026-03-03 00:00:00,3,14.8,7.9,0.00,3,13.6
2026-03-04 00:00:00,3,12.4,7.0,0.00,3,11.4
2026-03-05 00:00:00,3,18.4,6.2,0.00,3,16.5
2026-03-06 00:00:00,61,12.6,7.6,5.80,61,11.2
2026-03-07 00:00:00,3,9.2,6.9,0.00,51,9.6
2026-03-08 00:00:00,3,10.8,7.4,0.00,3,10.5
2026-03-09 00:00:00,51,15.5,7.1,0.10,3,12.6
2026-03-10 00:00:00,3,13.7,8.2,0.00,3,13.0
2026-03-11 00:00:00,53,13.1,8.6,4.80,53,13.1
2026-03-12 00:00:00,51,12.5,8.9,0.60,51,12.5
2026-03-13 00:00:00,63,12.2,5.8,21.00,63,12.2
2026-03-14 00:00:00,3,10.5,3.5,0.00,3,10.5
